reviewStatus,compilerDecision,compilerNotes,draftDocumentNumber,compilerNumber,chapter,date,headingDraft,title,participants,releaseStatus,accessRestriction,pageCount,naid,catalogDerivedSourceNote,sourceNoteProvenance,currentSourceNote,sourceNoteGaps,scheduleEvidence,catalogUrl,pdfUrl
,,,42,3.025,Turkey,1990-11-30,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, November 30, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081261,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, November 30, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081261; PDF extent: 4 pages; digital object: 1990-11-30--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, November 30, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 11/30/1990 - NAID 415890958 || [Presidential Daily Backup] 11/30/1990 - NAID 415890959,https://catalog.archives.gov/id/428081261,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-11-30--Ozal.pdf
,,,43,3.026,Turkey,1990-12-01,Memorandum of Telephone Conversation,"Telephone Call from Turkish President Turgut Ozal, December I, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,5,428081263,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turkish President Turgut Ozal, December I, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081263; PDF extent: 5 pages; digital object: 1990-12-01--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turkish President Turgut Ozal, December I, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 12/1/1990 - NAID 415890960 || [Presidential Daily Backup] 12/1/1990 - NAID 415890961,https://catalog.archives.gov/id/428081263,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-12-01--Ozal.pdf
,,,44,3.027,Turkey,1990-12-16,Editorial Note / Document Search Pending,"Telephone Call from Turgut Ozal, December 16, 1990",George H. W. Bush; Turgut Ozal,Marker / no memorandum listed,Unrestricted,2,428081251,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turgut Ozal, December 16, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428081251; PDF extent: 2 pages; digital object: 1990-12-16--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turgut Ozal, December 16, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection",[Presidential Daily Diary] 12/16/1990 - NAID 415890990 || [Presidential Daily Backup] 12/16/1990 - NAID 415890991,https://catalog.archives.gov/id/428081251,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-12-16--Ozal.pdf
,,,45,3.028,Turkey,1990-12-28,Memorandum of Telephone Conversation,"Telcon with President Turgut Ozal of Turkey, December 28, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081287,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Turgut Ozal of Turkey, December 28, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081287; PDF extent: 4 pages; digital object: 1990-12-28--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Turgut Ozal of Turkey, December 28, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 12/28/1990 - NAID 415891014 || [Presidential Daily Backup] 12/28/1990 - NAID 415891015,https://catalog.archives.gov/id/428081287,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-12-28--Ozal.pdf
,,,46,3.029,Turkey,1991-01-10,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (1 of 2)",George H. W. Bush; Turgut Ozal,Full,Unrestricted,5,428081313,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (1 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081313; PDF extent: 5 pages; digital object: 1991-01-10--Ozal-1.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (1 of 2).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 1/10/1991 - NAID 415891040 || [Presidential Daily Backup] 1/10/1991 - NAID 415891041,https://catalog.archives.gov/id/428081313,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-10--Ozal-1.pdf
,,,47,3.030,Turkey,1991-01-10,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (2 of 2)",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428081315,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (2 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081315; PDF extent: 3 pages; digital object: 1991-01-10--Ozal-2.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (2 of 2).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 1/10/1991 - NAID 415891040 || [Presidential Daily Backup] 1/10/1991 - NAID 415891041,https://catalog.archives.gov/id/428081315,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-10--Ozal-2.pdf
,,,48,3.031,Turkey,1991-01-16,Editorial Note / Document Search Pending,"Telephone Call to Turgut Ozal, January 16, 1991",George H. W. Bush; Turgut Ozal,Marker / no memorandum listed,Unrestricted,2,428081335,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Turgut Ozal, January 16, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428081335; PDF extent: 2 pages; digital object: 1991-01-16--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Turgut Ozal, January 16, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection",[Presidential Daily Diary] 1/16/1991 - NAID 415891052 || [Presidential Daily Backup] 1/16/1991 - NAID 415891053,https://catalog.archives.gov/id/428081335,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-16--Ozal.pdf
,,,49,3.032,Turkey,1991-01-21,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, January 21, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428081373,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 21, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081373; PDF extent: 3 pages; digital object: 1991-01-21--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 21, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text","President's Daily Diary Entry, January 21, 1991 - NAID 186327 || [Presidential Daily Diary] 1/21/1991 - NAID 415891062 || [Presidential Daily Backup] 1/21/1991 - NAID 415891063",https://catalog.archives.gov/id/428081373,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-21--Ozal.pdf
,,,50,3.033,Turkey,1991-01-30,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, January 30, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081401,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 30, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081401; PDF extent: 4 pages; digital object: 1991-01-30--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, January 30, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Name/title spelling variant (Doc 3.033 / Schedule NAID 186336); Name/title spelling variant (Doc 3.033 / Schedule NAID 415891080)","President's Daily Diary Entry, January 30, 1991 - NAID 186336 || [Presidential Daily Diary] 1/30/1991 - NAID 415891080 || [Presidential Daily Backup] 1/30/1991 - NAID 415891081",https://catalog.archives.gov/id/428081401,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-30--Ozal.pdf
,,,51,3.034,Turkey,1991-02-05,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, February 5, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081419,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, February 5, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081419; PDF extent: 4 pages; digital object: 1991-02-05--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, February 5, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Name/title spelling variant (Doc 3.034 / Schedule NAID 186342); Name/title spelling variant (Doc 3.034 / Schedule NAID 415891092)","President's Daily Diary Entry, February 5, 1991 - NAID 186342 || [Presidential Daily Diary] 2/5/1991 - NAID 415891092 || [Presidential Daily Backup] 2/5/1991 - NAID 415891093",https://catalog.archives.gov/id/428081419,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-05--Ozal.pdf
,,,52,3.035,Turkey,1991-02-15,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, February 15, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081459,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, February 15, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081459; PDF extent: 4 pages; digital object: 1991-02-15--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, February 15, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 2/15/1991 - NAID 415891112 || [Presidential Daily Backup] 2/15/1991 - NAID 415891113,https://catalog.archives.gov/id/428081459,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-15--Ozal.pdf
,,,53,3.036,Turkey,1991-02-19,Memorandum of Telephone Conversation,"Telcon with President Turgut Ozal of Turkey on February 19, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081469,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Turgut Ozal of Turkey on February 19, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081469; PDF extent: 4 pages; digital object: 1991-02-19--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Turgut Ozal of Turkey on February 19, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Name/title spelling variant (Doc 3.036 / Schedule NAID 415891120)",[Presidential Daily Diary] 2/19/1991 - NAID 415891120 || [Presidential Daily Backup] 2/19/1991 - NAID 415891121,https://catalog.archives.gov/id/428081469,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-19--Ozal.pdf
,,,54,3.037,Turkey,1991-02-23,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey: February 23, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428081499,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey: February 23, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081499; PDF extent: 3 pages; digital object: 1991-02-23--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey: February 23, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 2/23/1991 - NAID 415891128 || [Presidential Daily Backup] 2/23/1991 - NAID 415891129,https://catalog.archives.gov/id/428081499,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-23--Ozal.pdf
,,,55,3.038,Turkey,1991-02-26,Memorandum of Telephone Conversation,"Telcon with Turgut Ozal, President of Turkey on February 26, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,6,428081505,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Turgut Ozal, President of Turkey on February 26, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081505; PDF extent: 6 pages; digital object: 1991-02-26--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Turgut Ozal, President of Turkey on February 26, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 2/26/1991 - NAID 415891134 || [Presidential Daily Backup] 2/26/1991 - NAID 415891135,https://catalog.archives.gov/id/428081505,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-26--Ozal.pdf
,,,56,3.039,Turkey,1991-02-28,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, February 28, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081555,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, February 28, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081555; PDF extent: 4 pages; digital object: 1991-02-28--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, February 28, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 2/28/1991 - NAID 415891138 || [Presidential Daily Backup] 2/28/1991 - NAID 415891139,https://catalog.archives.gov/id/428081555,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-02-28--Ozal.pdf
,,,57,3.040,Turkey,1991-03-27,Editorial Note / Document Search Pending,"Telephone Call from Turgut Ozal, March 27, 1991",George H. W. Bush; Turgut Ozal,Marker / no memorandum listed,Unrestricted,2,428081553,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turgut Ozal, March 27, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428081553; PDF extent: 2 pages; digital object: 1991-03-27--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turgut Ozal, March 27, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection",[Presidential Daily Diary] 3/27/1991 - NAID 415891192 || [Presidential Daily Backup] 3/27/1991 - NAID 415891193,https://catalog.archives.gov/id/428081553,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-03-27--Ozal.pdf
,,,58,3.041,Turkey,1991-04-02,Memorandum of Telephone Conversation,"Telcon with Turgut Ozal, President of Turkey on April 2, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428081593,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Turgut Ozal, President of Turkey on April 2, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081593; PDF extent: 3 pages; digital object: 1991-04-02--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Turgut Ozal, President of Turkey on April 2, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 4/2/1991 - NAID 415891204 || [Presidential Daily Backup] 4/2/1991 - NAID 415891205,https://catalog.archives.gov/id/428081593,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-02--Ozal.pdf
,,,59,3.042,Turkey,1991-04-15,Memorandum of Telephone Conversation,"Telcon with Turgut Ozal,President of Turkey on April 15, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,5,428081603,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Turgut Ozal,President of Turkey on April 15, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081603; PDF extent: 5 pages; digital object: 1991-04-15--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Turgut Ozal,President of Turkey on April 15, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 4/15/1991 - NAID 415891230 || [Presidential Daily Backup] 4/15/1991 - NAID 415891231,https://catalog.archives.gov/id/428081603,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-15--Ozal.pdf
,,,60,3.043,Turkey,1991-04-16,Memorandum of Telephone Conversation,"Presidential Call to President Ozal, April 16, 1991 (2 of 2)",George H. W. Bush; Turgut Ozal,Denied,Restricted - Fully,1,428081617,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Presidential Call to President Ozal, April 16, 1991 (2 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Denied; Catalog access: Restricted - Fully; NAID 428081617; PDF extent: 1 pages; digital object: 1991-04-16--Ozal-2.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Presidential Call to President Ozal, April 16, 1991 (2 of 2).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection",[Presidential Daily Diary] 4/16/1991 - NAID 415891232 || [Presidential Daily Backup] 4/16/1991 - NAID 415891233,https://catalog.archives.gov/id/428081617,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-16--Ozal-2.pdf
,,,61,3.044,Turkey,1991-04-16,Memorandum of Telephone Conversation,"Telcon with President Ozal of Turkey on April 16, 1991 (1 of 2)",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081615,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Ozal of Turkey on April 16, 1991 (1 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081615; PDF extent: 4 pages; digital object: 1991-04-16--Ozal-1.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Ozal of Turkey on April 16, 1991 (1 of 2).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 4/16/1991 - NAID 415891232 || [Presidential Daily Backup] 4/16/1991 - NAID 415891233,https://catalog.archives.gov/id/428081615,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-16--Ozal-1.pdf
,,,62,3.045,Turkey,1991-04-20,Memorandum of Telephone Conversation,"Telcon with President Ozal of Turkey, April 20, 1991",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428081651,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Ozal of Turkey, April 20, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081651; PDF extent: 3 pages; digital object: 1991-04-20--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Ozal of Turkey, April 20, 1991.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 4/20/1991 - NAID 415891240 || [Presidential Daily Backup] 4/20/1991 - NAID 415891241,https://catalog.archives.gov/id/428081651,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-20--Ozal.pdf
